s	mu	alpha	lambda	MAP
0.3	5000	0.3	0.6	0.527839
0.35	500	0.3	0.6	0.569773
0.35	1000	0.3	0.6	0.583976
0.35	2000	0.3	0.6	0.581583
0.35	5000	0.3	0.6	0.529001
0.4	500	0.3	0.6	0.58173
0.4	1000	0.3	0.6	0.593568
0.4	2000	0.3	0.6	0.591824
0.4	5000	0.3	0.6	0.530885
0.1	500	0.3	0.7	0.484256
0.1	1000	0.3	0.7	0.510521
0.1	2000	0.3	0.7	0.514689
0.1	5000	0.3	0.7	0.499853
0.15	500	0.3	0.7	0.515164
0.15	1000	0.3	0.7	0.534491
0.15	2000	0.3	0.7	0.534914
0.15	5000	0.3	0.7	0.510012
0.2	500	0.3	0.7	0.536434
0.2	1000	0.3	0.7	0.555211
0.2	2000	0.3	0.7	0.550421
0.2	5000	0.3	0.7	0.521336
0.25	500	0.3	0.7	0.555261
0.25	1000	0.3	0.7	0.572541
0.25	2000	0.3	0.7	0.566981
0.25	5000	0.3	0.7	0.527224
0.3	500	0.3	0.7	0.570769
0.3	1000	0.3	0.7	0.58631
0.3	2000	0.3	0.7	0.582681
0.3	5000	0.3	0.7	0.527824
0.35	500	0.3	0.7	0.586098
0.35	1000	0.3	0.7	0.596439
0.35	2000	0.3	0.7	0.593255
0.35	5000	0.3	0.7	0.530068
0.4	500	0.3	0.7	0.600711
0.4	1000	0.3	0.7	0.609305
0.4	2000	0.3	0.7	0.594819
0.4	5000	0.3	0.7	0.527697
0.1	500	0.3	0.8	0.494022
0.1	1000	0.3	0.8	0.517045
